Public?,Name,Category,AI Summary,AI LikedIn Post,Created,Last edited
Yes,Decision Meetings,Meetings,"Decision Meetings are a valuable tool for making thoughtful decisions in a short amount of time. This document provides a process for conducting Decision Meetings and highlights the benefits of up-front preparation. By using this tool, teams can save time and ensure that decisions are documented and communicated effectively.","Are you tired of endless, unproductive meetings that seem to go nowhere? Look no further than Decision Meetings.

In this article, we explore the benefits of this tool for making thoughtful decisions in a short amount of time. By shifting much of the work to before the meeting, we can save a lot of time while still making well-informed decisions. Plus, there's a documented record of decisions that can be searched for later.

Read on to discover the process for Decision Meetings, including how to write up a proposal, share it with relevant people, and schedule the meeting to make the final decision.

Do you have any experiences with Decision Meetings? Share your thoughts and challenges in the comments below.

#collaboration #management #meetings","May 31, 2023 6:55 PM","September 6, 2023 1:52 PM"
Yes,Using Your Calendar Effectively,Meetings,"This document provides guidance on effectively managing calendars in a remote work setting, including tips on scheduling meetings, blocking out personal time, and using agendas. It also explains the importance of exposing and subscribing to calendars in order to facilitate collaboration among team members in different time zones.","🚀 Want to learn how to use your calendar more effectively in a remote work environment? Check out this article!

With distributed teams working asynchronously across different time zones, managing calendars becomes increasingly important. The article covers some key tips on how to set things up, schedule meetings, block out personal time, handle meeting invites, and more.

The article also touches on the importance of agendas for all meetings, so everyone involved knows what's on the table.

If you're working remotely, or just want to up your calendar game, this article is worth a read! #remotework #productivity #calendars #meetings","May 31, 2023 7:02 PM","September 6, 2023 1:52 PM"
Yes,Choosing a Time for Meetings,Meetings,"This document provides tips for scheduling meetings, especially in distributed teams. It includes advice on who needs to be there, when to schedule, and how to send an invitation. The ""8-18-1800"" rule is discussed, along with considerations for recurring meetings and working across time zones.","Are you tired of wasting hours trying to schedule meetings that work for everyone? Look no further! This guide on choosing a time for meetings has got you covered. From understanding who needs to be there to finding a good time for everyone, this article provides tips and tricks to make scheduling a breeze.

One of the key takeaways is the 8-18-1800 rule - invite no more than 8 people if you're solving a problem or making a decision, no more than 18 people if you need to brainstorm, and if you're rallying the troops, invite 1,800 (or do it via a recorded video!).

For recurring meetings, the article suggests considering if you need a weekly call or could achieve the same goal with less frequent meetings. Additionally, if your team is spread across many time zones, consider scheduling two or three meetings with similar goals or agendas for each sub-team or project squad.

Check out the full article for more tips on how to schedule meetings more effectively and efficiently.","May 31, 2023 7:11 PM","September 6, 2023 1:52 PM"
Yes,Pair Working,Meetings,"Pair working can be a powerful tool for solving problems and fostering collaboration, especially for remote teams. This document provides tips for effective pair working, including tools to use and best practices for communicating and working together.","Are you tired of working alone? Feeling stuck on a tough problem? Consider pair working! 💻👥

Pair programming has been used by programmers for years to tackle difficult problems together. But with modern collaborative tools like Google Docs, Notion, Figma, and Miro, it's easier than ever to work together remotely.

In this article, we explore the benefits of pairing and how to do it effectively. From reducing loneliness to sharing knowledge and solving hard problems, there are plenty of reasons to give it a try. And if you're not sure how to get started, we've got some tips for you too.

So why not give it a go? Jump on a call with a colleague and work on a project together. You might be surprised at how much you can accomplish! 👍

[Link to the full article in the comments below] #PairWorking #RemoteCollaboration #ProductivityTips","May 31, 2023 7:37 PM","September 6, 2023 1:52 PM"
Yes,Unblock Me Sessions,Meetings,"This document provides guidance on how to quickly unblock yourself and your team by holding ad-hoc meetings, also known as ""Unblock Me Sessions"". With the right people and a short video call, you can replace longer conversations on other platforms and keep your team moving forward efficiently. The document includes tips on how to make the most of these sessions and avoid disrupting others' workdays.","Are you tired of endless Slack conversations that seem to go nowhere? Are you struggling to get answers to your burning questions in a timely manner? The solution could be as simple as jumping on an ad-hoc video call with the right people. At [company name], we've started using what we call ""Unblock Me Sessions"" to quickly get unstuck and move forward with our work.

In today's distributed work environment, meetings don't always have to be planned out in advance. Sometimes, a 5-minute video call can replace a one-hour Slack conversation, and that's where Unblock Me Sessions come in. Just make sure to be clear that you're asking for an Unblock Me Session and not a social call or pairing session.

If you're interested in learning more about how to implement Unblock Me Sessions in your own team, check out our latest blog post [here](insert link). And remember, when you're unblocked, end the call and get back to work! #UnblockMeSessions #DistributedTeams #RemoteWork #ProductivityTips","May 31, 2023 7:45 PM","September 6, 2023 1:52 PM"
Yes,Social Calls,Meetings,"This document provides guidance on how to build social connections remotely, including tips on booking social calls, suggested conversation topics, and tools like Donut that can help arrange social calls between team members. Social calls are an important way to build trust and strong teams in a remote environment.",,"May 31, 2023 7:54 PM","September 6, 2023 1:52 PM"
Yes,Asynchronous Status Meetings,Meetings,"This document provides guidance on using asynchronous status meetings to free up synchronous meeting time and allow for well-structured updates, spotlights and guest contributions. It outlines the benefits of this approach and provides tips for structuring and scheduling these meetings.","🚀 Asynchronous status meetings: the future of team communication?

Are your team meetings often bogged down by lengthy status updates and announcements that could have been shared asynchronously? Do you find it difficult to keep track of everything that's going on in your distributed team?

Enter asynchronous status meetings - a new way of sharing updates and information that doesn't require everyone to be present at the same time. By using a shared document (like Notion or Google Docs), team members can contribute their updates and read others' updates at a time that suits them best.

Not only does this free up valuable synchronous meeting time, but it also allows for more structured and comprehensive updates, as well as the opportunity to spotlight team members and invite guest speakers from other teams.

In this post, we'll explore the benefits of asynchronous status meetings and how to structure them effectively. Say goodbye to meaningless ""how-to's"" and hello to a more productive and informed team.

Check out the full article here: <insert link to the Notion document>. Let us know in the comments if you've tried asynchronous status meetings and how they've worked for your team. #AsyncWorking #Meetings #RemoteWork","May 31, 2023 8:08 PM","September 6, 2023 1:52 PM"
Yes,Recurring Team Meetings,Meetings,"This document provides best practices for conducting effective and productive remote team meetings. It includes key principles and guidelines for structuring team meetings, as well as suggestions for building agendas, assigning facilitators, and recording calls. The document also offers tips for scheduling meetings across time zones and provides links to additional resources for further reading.","🎉 Exciting news! Are you tired of unproductive and boring team meetings? Check out this article on how to make the most out of your synchronous time and have more effective meetings with your team. From avoiding status updates to building an agenda beforehand, this article covers key principles and best practices for running productive recurring team meetings. Plus, it includes a sample meeting template and document for inspiration. Say goodbye to unproductive meetings and hello to more efficient collaboration! #remotework #teammeetings #productivity

Link to article in first comment ⬇️","May 31, 2023 9:10 PM","September 6, 2023 1:52 PM"
Yes,Workshops & Brainstorming Sessions,Meetings,"This document provides guidelines for facilitating successful workshops and brainstorming sessions. Collaboration and visual tools are key, and having a clear goal and structure is essential. A facilitator should lead the session, and pre-read materials can help ensure everyone is prepared.","Are you tired of unproductive meetings? Do you feel like brainstorming sessions are just a waste of time? It doesn't have to be that way! Our latest article on workshops and brainstorming sessions will show you how to make the most out of these collaborative sessions.

Whether you're in the office or working remotely, visual tools are key to successful brainstorming. From whiteboards and sticky notes to online tools like Miro and FigJam, our article will guide you through the process of using these tools to generate new ideas and create clarity from existing ones.

But it's not just about the tools - having a clear goal and a facilitator are essential. We'll give you tips on how to structure your sessions, keep everyone on track with timers, and even how to start with a check-in to get everyone in a creative state of mind.

Don't let unproductive meetings bring you down. Check out our article on workshops and brainstorming sessions and start collaborating effectively today!

#meetings #workshops #brainstorming #collaboration

Link to the full article in the first comment!","May 31, 2023 9:21 PM","September 6, 2023 1:52 PM"
Yes,Games for Remote Teams,Meetings,"This document provides tips and resources for incorporating remote-friendly games into team meetings, workshops, and all-hands meetings. These games can help improve team collaboration, critical thinking, and decision-making, while also fostering camaraderie and a sense of team. Use this document as a tool to enhance your team-building activities.","🎲 Looking for a fun way to bring your remote team together? Check out these games and tips for virtual team bonding! 🤝

Playing games with your team is a great way to improve collaboration, critical thinking, and decision-making. Plus, it helps build camaraderie and a sense of team. Whether it's a short game during a team meeting or a longer workshop, incorporating games into your virtual events can make them more engaging and enjoyable for everyone.

Check out our latest blog post for tips on how to plan and facilitate virtual team games, as well as some game ideas and resources to get you started. From pure fun to learning and problem-solving, there's a game out there for every team.

Don't miss out on the chance to bring some fun into your virtual workday! 😄

[Link to the blog post]","May 31, 2023 11:24 PM","September 6, 2023 1:52 PM"
Yes,All Hands Meetings,Meetings,"This document outlines how to run effective All-Hands meetings, which are an opportunity to bring the entire company together to reinforce company vision, values, and objectives, and to share updates and successes from each department. The document provides a template for asynchronous updates and a suggested agenda for the meeting. Additionally, the document provides tips for encouraging participation and engagement in large company meetings.","Are you struggling to keep your company aligned and motivated? All-Hands meetings might be the answer you're looking for. These meetings bring the whole company together to remind everyone of the company's vision, goals, and objectives. They're also a great opportunity to make big announcements, share updates and successes from each department, and introduce new joiners. But how do you structure an effective All-Hands meeting? And how do you encourage participation from all employees, especially in larger companies? Check out our latest blog post for a template and agenda for asynchronous updates, tips for encouraging participation, and more. Link in the comments! #meetings #companyculture #employeeengagement","May 31, 2023 11:39 PM","September 6, 2023 1:52 PM"
Yes,Focus Fridays,Meetings,"This document outlines the concept of ""Focus Fridays"" - a strategy for creating uninterrupted time for deep work by declaring one day a week free of internal meetings. The rules are simple, and the benefits include better focus, improved communication habits, and a more productive workweek.","🔥 Do you struggle to find uninterrupted time to focus on deep work during the week? You're not alone! Even two short meetings a few hours apart can make it impossible to get anything done. But what if you could declare every Friday a Focus Friday?

This article explores the benefits of dedicating one day a week to focused work, and how to implement it in your team. The rules are simple: no internal meetings on Fridays (except for pairing, unblock me sessions or impromptu social calls), and everyone has permission to ignore requests until Monday.

By creating a group norm and encouraging asynchronous communication, Focus Fridays can lead to better habits and a guaranteed stretch of solid work time. It's a great way to start your weekend feeling productive and accomplished.

Read on for pro tips on how to get the most out of your Focus Friday, and why Friday is the best day for this concept (hint: alliteration!). Share this article with your team and try it out for yourself. Who knows - Focus Friday just might become your favorite day of the week.

Link to the full article in the comments below 👇

#FocusFriday #AsynchronousWorking #Meetings","June 1, 2023 1:13 AM","September 6, 2023 1:52 PM"
Yes,Meetings,Meetings,"This document provides advice on how to run effective meetings in remote organizations. It emphasizes the importance of maximizing the value of every minute of synchronous meeting time and offers tips on establishing conventions, setting goals, and defining different types of meetings. Asynchronous communication is also discussed as an alternative to meetings when possible.","🚨 Attention remote workers! Are you tired of unproductive meetings that waste your precious time? Check out this collection of advice on how to run effective remote meetings and make every minute count. From communicating asynchronously to establishing conventions and defining different types of meetings, this guide has got you covered. Don't let unproductive meetings slow down your workday - read more in the link below! #remotework #meetings #productivity

Link to the guide: [insert link here]","June 1, 2023 2:11 AM","September 6, 2023 1:52 PM"
Yes,Meeting Checkins,Meetings,"This document provides guidance on how to start meetings with a checkin, particularly useful for larger groups. The document includes a standard checkin format and explains why it’s useful. Additionally, it offers alternative checkin ideas and further reading suggestions.","Are you tired of the same old boring meetings? Check out these tips for better check-ins! Starting meetings with a check-in can help confirm everyone's cameras and microphones are working, establish openness, vulnerability, and ensure everyone gets a chance to speak up later in the meeting. This article presents a standard check-in format that works well for larger groups, as well as alternative check-ins for smaller groups.

Whether you're leading a team meeting or just catching up with friends, these check-in formats can help you connect on a deeper level. Check out the article below for more details and let us know which check-in format is your favorite!

[Link to the article]","January 30, 2023 8:47 PM","September 6, 2023 1:54 PM"
Yes,Fundamental Workshopping Tools,Facilitation & Coaching,Learn the two fundamental tools for effective workshop facilitation: individual thinking leading to collective thinking and divergent thinking leading to convergent thinking. Combining these tools with an online whiteboarding tool like FigJam can make for surprisingly effective workshops.,"🚀 Are you looking for ways to run effective workshops? Look no further! Check out these fundamental workshopping tools that can help you get started with brainstorming sessions, problem-solving, and decision-making.

Learn about individual thinking and collective thinking, divergent and convergent thinking, and how to put it all together with the help of online whiteboarding tools.

Read more about these concepts and ideas in the link below. Happy workshopping! 👇

[link to be shared in the first comment]","May 31, 2023 10:39 PM","September 6, 2023 1:59 PM"
Yes,The Seven Essential Coaching Questions,Facilitation & Coaching,"The Seven Essential Coaching Questions is a collection of practical, easy-to-use questions that Michael Bungay Stanier outlines in his book, The Coaching Habit. They're designed to help managers and team members alike to effectively and confidently coach each other. This document provides an overview of the questions and offers some general advice on how to use them.","📢 Attention managers and team leaders!

Are you looking to improve your coaching skills, but struggling to apply your knowledge to work conversations? Look no further! Michael Bungay Stanier's ""The Coaching Habit"" outlines seven essential questions that are easy to understand and use at work.

But before we get to the questions, there are a few fundamental prerequisites to any useful coaching conversation. First, as a coach, you must be really good at listening and want to understand and help your coachee. This means being curious, open-minded, and empathetic.

When you're using the questions below, remember to ask one question at a time, banish ""have you considered"" or ""what about,"" and favor ""What..."" not ""why"" questions. Embrace (uncomfortable) silence.

So, what are the seven essential coaching questions? Check out the link in the comments to learn more and improve your coaching skills today!

#coaching #leadership #management #professionaldevelopment","July 31, 2023 9:02 PM","September 6, 2023 1:59 PM"
Yes,Good Video Calls,Video Calls,"This document provides tips for conducting effective video calls, including optimizing video quality, using gallery mode for group calls, and avoiding hybrid calls. It also emphasizes the importance of using video to communicate via facial expressions and body language in order to build relationships.","📣 Are you tired of ineffective video calls? Look no further! Check out these tips for having productive and engaging video calls.

Asynchronous communication is the norm in remote teams, but synchronous communication is still necessary. That's where video conferencing tools like Zoom and Microsoft Teams come in.

In this article, we'll discuss the importance of video quality in remote conversations and provide tips for improving it. We'll also cover best practices for group calls and using external monitors.

Don't settle for dull, unproductive video calls. Improve your remote communication today with these tips! Check out the full article in the comments below. #videoconferencing #remotework","January 30, 2023 9:12 PM","September 6, 2023 1:50 PM"
Yes,Audio on Video Calls,Video Calls,"This document provides tips and tricks for improving audio quality on video calls, whether you're working from a home office or on the go. It includes advice on choosing the right microphone, using noise-cancelling headphones, and adjusting volume and etiquette.","🔊 Are you tired of struggling with audio quality during video calls? 🤔

Check out our latest article on improving audio quality during videoconferencing calls! Learn about choosing the right microphone, managing noise in different environments, and best practices for speaking on video calls.

Don't let poor audio quality hinder your communication -- read the article now and start improving your video calls! 🚀

https://www.notion.soinsert-link-here

#VideoCalls #RemoteWork #AudioQuality #CommunicationSkills","February 16, 2023 9:30 PM","September 6, 2023 1:50 PM"
Yes,Eye Contact & Speech on Video Calls,Video Calls,"This resource provides tips for improving eye contact and speech during video calls. Topics covered include the importance of eye contact, rate of speech, pauses, tone, hand gestures, and facial expressions. The goal is to help remote workers make a positive and engaging impression on video calls.","📢 Attention all video call enthusiasts! Are you tired of feeling disconnected and misunderstood on your calls? Look no further! In this article, we explore how to make a genuine connection with your colleagues on video calls through eye contact, tone of voice, hand gestures and facial expressions.

We'll show you how to be more engaging, drive your message home, and create the energy you need to present effectively. We'll also delve into the importance of pausing, and how silence can help people to think and respond better.

So, hop on the video call train and learn how to make authentic connections with your colleagues today! Check out the article in the first comment below. 💻🤝💬 #VideoCalls #RemoteWork #Engagement","February 16, 2023 9:56 PM","September 6, 2023 1:50 PM"
Yes,Dealing with Interruptions to Video Calls,Video Calls,"This document offers tips for dealing with interruptions during video calls, such as those caused by children or pets. It emphasizes that these interruptions can be seen as a positive way to build relationships in remote teams.","🚨 Dealing with interruptions during video calls is a common experience for remote workers. Whether it's your pets or kids, it's not always easy to find a quiet space! But what if I told you that these interruptions could actually be a good thing?

In a recent article by Catharine Lumby, she argues that interruptions are the ""reboot corporate culture needed"". By allowing glimpses into our personal lives, we can build stronger connections with our colleagues.

But how do we handle these interruptions? It's important to remember that it's normal and okay for them to happen. Just mute yourself and take care of the situation. Who knows, maybe your coworkers will even want to meet your cute pet!

Check out our latest blog post for more tips on dealing with interruptions during video calls. And let us know in the comments - what's your favorite video call interruption story?

[Link to the blog post]","February 16, 2023 10:03 PM","September 6, 2023 1:50 PM"
Yes,Screen Sharing,Video Calls,"This document provides tips for presenting via screen-sharing during video calls or recordings. It emphasizes the importance of considering the same skills and techniques as in-person presenting, while also outlining a few additional things to keep in mind.","📢 Are you looking to improve your screen sharing skills for your next video call or presentation? Look no further! Our latest article covers the essential tips and techniques for presenting via Zoom, along with some extra considerations you might not have thought of.

Read on to learn how to make your next screen share a success. And don't forget to share your own tips and experiences in the comments!

[Link to article]

#VideoConferencing #RemoteWork #PresentationTips #Zoom #ScreenSharing","February 16, 2023 10:08 PM","September 6, 2023 1:50 PM"
Yes,Google Workspace,Software Tools,"This document provides a brief overview of Google Workspace, including its commonly used applications and tips for working with Google Docs. It also includes a checklist for configuring your Google account and links to helpful tutorials provided by Google.","🚀 Are you working remotely and struggling to stay connected with your team? Look no further than Google Workspace - the go-to email and office software for the vast majority of remote companies.

In addition to GMail, Google Workspace comes with five commonly-used applications, including Google Calendar, Sheets, Docs, Slides, and Drive. These tools allow for real-time and asynchronous collaboration, making them invaluable in a remote environment.

Check out our latest blog post for tips on setting up your Google Account and working effectively with Google Docs. Plus, learn how to use comments to give feedback and tag your collaborators for quick and easy communication.

[Link to the blog post in the comments!]

#GoogleWorkspace #RemoteWork #Collaboration #Productivity","August 1, 2023 2:05 AM","September 6, 2023 1:59 PM"
Yes,Office 365,Software Tools,"This document provides an overview of Office 365 and its apps, as well as tips for setting up and working with documents. It covers topics such as configuring your Microsoft 365 account, creating and storing documents, and using Word for collaboration.","📣 Exciting news! If you're working remotely and looking for ways to boost your productivity, then this post is for you!

Are you tired of endless email threads and lost attachments? Look no further than Office 365! This powerful suite of apps, including Outlook, Teams, Word, Excel, and PowerPoint, will revolutionize the way you work.

In this article, we explore the benefits of Office 365 and provide tips for getting the most out of the suite. Learn how to set up your account securely, collaborate seamlessly on documents, and more.

So what are you waiting for? Check out the article now and let us know your favorite Office 365 tips in the comments!

Link in the first comment. 👇","August 1, 2023 2:03 AM","September 6, 2023 1:59 PM"
